# Dieser Datensatz umfasst die bewohnten Wohnungen mit Wohnungsfläche sowie
# Personenangaben der Bewohnerschaft zur Haushaltsstruktur, aufgegliedert für
# mehrheitlich gemeinnützige und andere Eigentumsarten sowie Neubauart (z.B.
# Ersatzneubau).

# Die Daten stammen aus der Datenbank «Gebäude- und Wohnungsregister der Stadt
# Zürich» (GWZ) und dem Bevölkerungsregister (BVS) von Statistik Stadt Zürich.
# Die abgeglichenen Register werden seit 2014 laufend weitergeführt und
# bereinigt.  Datenquelle :
#
# Datenquelle und detaillierte Beschreibung der Variablen:
# https://data.stadt-zuerich.ch/dataset/bau_best_whg_pers_haush_quartier_neubauart_gemeinnuetzig_seit2014
#
"ReportJahr","StatistikJahr","QuarSort","QuarLang","HptEigGruppe","ArtErsatzneubau","AnzWhgBew","WohnFlBew","PersInWhgGT2","inHh_PamK","inHh_1ElK","inHh_UemK","inHh_1P","inHh_2P","inHh_EpoK","inHh_WGoK"
2017,2015,41,"Werd","Übrige Eigentümerschaften","Neubau als Wohnersatz",13,1115,27,6,0,5,5,8,0,3
2017,2016,41,"Werd","Übrige Eigentümerschaften","Neubau als Wohnersatz",51,4602,105,21,0,10,13,34,24,3
2017,2016,41,"Werd","Übrige Eigentümerschaften","Neubau auf unbebautem Land",1,154,".",".",".",".",".",".",".","."
2017,2014,42,"Langstrasse","Im Stockwerkeigentum","Altbau (bis 2006)",322,19935,533,39,8,8,170,156,52,99
2017,2015,42,"Langstrasse","Im Stockwerkeigentum","Altbau (bis 2006)",359,22325,570,45,10,17,209,140,60,71
2017,2016,42,"Langstrasse","Im Stockwerkeigentum","Altbau (bis 2006)",361,22603,585,46,12,19,203,138,60,105
2017,2014,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Umnutzung",8,699,17,5,0,4,4,4,0,0
2017,2015,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Umnutzung",7,624,14,0,0,5,3,6,0,0
2017,2016,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Umnutzung",8,699,16,0,0,5,3,8,0,0
2017,2014,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Wohnersatz",35,4220,72,12,3,0,10,28,10,9
2017,2015,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Wohnersatz",38,4581,71,14,3,0,12,30,10,0
2017,2016,42,"Langstrasse","Im Stockwerkeigentum","Neubau als Wohnersatz",38,4585,73,10,5,0,12,28,8,9
2017,2015,42,"Langstrasse","Im Stockwerkeigentum","Neubau auf unbebautem Land",32,4572,54,7,0,0,13,14,20,0
2017,2016,42,"Langstrasse","Im Stockwerkeigentum","Neubau auf unbebautem Land",37,5124,63,10,0,0,15,18,18,3
2017,2014,42,"Langstrasse","Öffentl./Genossenschaftl.","Altbau (bis 2006)",649,47135,1309,319,56,102,287,250,108,188
2017,2015,42,"Langstrasse","Öffentl./Genossenschaftl.","Altbau (bis 2006)",648,47014,1316,357,62,61,272,264,118,171
2017,2016,42,"Langstrasse","Öffentl./Genossenschaftl.","Altbau (bis 2006)",645,46778,1324,340,58,92,269,236,120,211
2017,2014,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Umnutzung",28,1614,35,0,0,0,20,2,12,0
2017,2015,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Umnutzung",27,1569,36,0,0,0,18,4,14,0
2017,2016,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Umnutzung",28,1614,34,0,0,0,22,2,10,0
2017,2014,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",57,5541,121,50,3,11,21,32,2,3
2017,2015,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",57,5615,133,65,2,10,17,28,2,9
2017,2016,42,"Langstrasse","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",57,5595,136,68,5,15,19,22,4,3
2017,2014,42,"Langstrasse","Übrige Eigentümerschaften","Altbau (bis 2006)",4261,278119,7565,932,160,465,2174,2086,494,1254
2017,2015,42,"Langstrasse","Übrige Eigentümerschaften","Altbau (bis 2006)",4306,278402,7713,852,165,492,2173,2158,472,1377
2017,2016,42,"Langstrasse","Übrige Eigentümerschaften","Altbau (bis 2006)",4371,282971,7634,859,170,354,2294,2086,498,1367
2017,2014,42,"Langstrasse","Übrige Eigentümerschaften","Neubau als Umnutzung",67,6854,128,3,0,4,21,46,16,36
2017,2015,42,"Langstrasse","Übrige Eigentümerschaften","Neubau als Umnutzung",75,7437,143,0,0,4,25,52,14,44
2017,2016,42,"Langstrasse","Übrige Eigentümerschaften","Neubau als Umnutzung",100,9609,189,7,2,5,36,78,14,46
2017,2015,42,"Langstrasse","Übrige Eigentümerschaften","Neubau als Wohnersatz",4,68,4,".",".",".",".",".",".","."
2017,2016,42,"Langstrasse","Übrige Eigentümerschaften","Neubau als Wohnersatz",14,951,23,0,0,0,7,8,4,3
2017,2015,42,"Langstrasse","Übrige Eigentümerschaften","Neubau auf unbebautem Land",7,536,9,".",".",".",".",".",".","."
2017,2016,42,"Langstrasse","Übrige Eigentümerschaften","Neubau auf unbebautem Land",12,887,15,3,0,0,10,0,2,0
2017,2014,44,"Hard","Im Stockwerkeigentum","Altbau (bis 2006)",182,11082,346,44,14,32,82,70,34,67
2017,2015,44,"Hard","Im Stockwerkeigentum","Altbau (bis 2006)",179,11023,335,43,10,27,81,86,30,59
2017,2016,44,"Hard","Im Stockwerkeigentum","Altbau (bis 2006)",177,10952,328,37,12,42,84,74,32,50
2017,2014,44,"Hard","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2841,184491,5723,1615,502,571,1280,790,530,433
2017,2015,44,"Hard","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2910,189354,5854,1716,523,475,1297,815,542,470
2017,2016,44,"Hard","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2921,189560,5769,1813,524,341,1339,808,520,433
2017,2014,44,"Hard","Öffentl./Genossenschaftl.","Neubau als Umnutzung",42,3502,91,20,4,12,14,18,6,19
2017,2015,44,"Hard","Öffentl./Genossenschaftl.","Neubau als Umnutzung",40,3342,93,16,4,18,15,18,4,19
2017,2016,44,"Hard","Öffentl./Genossenschaftl.","Neubau als Umnutzung",48,3877,90,7,2,13,22,24,10,12
2017,2014,44,"Hard","Übrige Eigentümerschaften","Altbau (bis 2006)",3135,209871,6336,1503,253,614,1342,1276,532,807
2017,2015,44,"Hard","Übrige Eigentümerschaften","Altbau (bis 2006)",3056,204809,6125,1460,246,544,1316,1264,504,781
2017,2016,44,"Hard","Übrige Eigentümerschaften","Altbau (bis 2006)",3086,204457,6059,1402,260,484,1345,1298,512,738
2017,2014,44,"Hard","Übrige Eigentümerschaften","Neubau als Umnutzung",112,9281,169,6,4,5,63,52,22,15
2017,2015,44,"Hard","Übrige Eigentümerschaften","Neubau als Umnutzung",111,9192,174,13,4,5,61,54,26,12
2017,2016,44,"Hard","Übrige Eigentümerschaften","Neubau als Umnutzung",112,9675,164,9,6,13,70,44,20,3
2017,2014,44,"Hard","Übrige Eigentümerschaften","Neubau als Wohnersatz",13,1217,18,0,0,0,8,4,6,0
2017,2015,44,"Hard","Übrige Eigentümerschaften","Neubau als Wohnersatz",12,1135,18,0,0,0,6,6,6,0
2017,2016,44,"Hard","Übrige Eigentümerschaften","Neubau als Wohnersatz",22,2034,34,3,0,0,14,6,6,6
2017,2014,44,"Hard","Übrige Eigentümerschaften","Neubau auf unbebautem Land",13,1143,30,3,0,0,4,8,0,15
2017,2015,44,"Hard","Übrige Eigentümerschaften","Neubau auf unbebautem Land",14,1253,30,3,0,0,4,6,2,13
2017,2016,44,"Hard","Übrige Eigentümerschaften","Neubau auf unbebautem Land",14,1253,30,6,0,0,5,4,2,13
2017,2014,51,"Gewerbeschule","Im Stockwerkeigentum","Altbau (bis 2006)",258,18401,449,75,26,20,134,86,44,68
2017,2015,51,"Gewerbeschule","Im Stockwerkeigentum","Altbau (bis 2006)",266,18821,462,66,22,29,141,96,44,63
2017,2016,51,"Gewerbeschule","Im Stockwerkeigentum","Altbau (bis 2006)",304,20990,512,74,10,25,167,132,46,57
2017,2014,51,"Gewerbeschule","Im Stockwerkeigentum","Neubau auf unbebautem Land",30,3145,50,10,3,0,16,14,6,0
2017,2015,51,"Gewerbeschule","Im Stockwerkeigentum","Neubau auf unbebautem Land",26,2885,49,14,3,0,10,16,6,0
2017,2016,51,"Gewerbeschule","Im Stockwerkeigentum","Neubau auf unbebautem Land",28,3025,51,9,3,0,9,22,8,0
2017,2014,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Altbau (bis 2006)",1376,98764,2920,916,187,313,575,398,310,228
2017,2015,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Altbau (bis 2006)",1405,100978,2983,952,177,284,586,408,328,256
2017,2016,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Altbau (bis 2006)",1391,100233,2950,940,203,275,569,392,330,241
2017,2014,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Neubau als Umnutzung",21,2269,34,6,0,0,10,16,4,0
2017,2015,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Neubau als Umnutzung",21,2323,42,15,0,0,7,10,8,3
2017,2016,51,"Gewerbeschule","Öffentl./Genossenschaftl.","Neubau als Umnutzung",22,2380,45,19,0,0,8,10,2,6
2017,2014,51,"Gewerbeschule","Übrige Eigentümerschaften","Altbau (bis 2006)",2788,190641,5067,929,138,279,1353,1346,376,636
2017,2015,51,"Gewerbeschule","Übrige Eigentümerschaften","Altbau (bis 2006)",2869,198216,5260,931,155,297,1364,1398,368,702
2017,2016,51,"Gewerbeschule","Übrige Eigentümerschaften","Altbau (bis 2006)",2870,198513,5226,974,154,269,1387,1384,392,637
2017,2014,51,"Gewerbeschule","Übrige Eigentümerschaften","Neubau auf unbebautem Land",4,600,11,7,0,0,0,0,4,0
2017,2015,51,"Gewerbeschule","Übrige Eigentümerschaften","Neubau auf unbebautem Land",4,600,7,".",".",".",".",".",".","."
2017,2016,51,"Gewerbeschule","Übrige Eigentümerschaften","Neubau auf unbebautem Land",4,600,7,".",".",".",".",".",".","."
2017,2014,52,"Escher Wyss","Im Stockwerkeigentum","Altbau (bis 2006)",227,25172,414,70,2,29,103,106,66,39
2017,2015,52,"Escher Wyss","Im Stockwerkeigentum","Altbau (bis 2006)",225,25140,407,64,4,26,99,110,72,30
2017,2016,52,"Escher Wyss","Im Stockwerkeigentum","Altbau (bis 2006)",218,23926,397,74,4,31,100,94,70,25
2017,2014,52,"Escher Wyss","Im Stockwerkeigentum","Neubau als Umnutzung",298,31905,529,87,7,33,126,174,96,19
2017,2015,52,"Escher Wyss","Im Stockwerkeigentum","Neubau als Umnutzung",426,46342,755,114,9,36,186,212,122,55
2017,2016,52,"Escher Wyss","Im Stockwerkeigentum","Neubau als Umnutzung",463,51098,865,154,12,36,176,266,148,71
2017,2014,52,"Escher Wyss","Im Stockwerkeigentum","Neubau auf unbebautem Land",62,5807,116,18,0,16,28,20,20,14
2017,2015,52,"Escher Wyss","Im Stockwerkeigentum","Neubau auf unbebautem Land",278,27479,525,41,11,24,105,162,70,104
2017,2016,52,"Escher Wyss","Im Stockwerkeigentum","Neubau auf unbebautem Land",146,14680,284,54,0,8,54,64,52,51
2017,2014,52,"Escher Wyss","Öffentl./Genossenschaftl.","Altbau (bis 2006)",150,14354,429,108,50,114,34,58,10,56
2017,2015,52,"Escher Wyss","Öffentl./Genossenschaftl.","Altbau (bis 2006)",155,14595,437,120,46,116,41,52,8,45
2017,2016,52,"Escher Wyss","Öffentl./Genossenschaftl.","Altbau (bis 2006)",157,14844,455,122,39,137,39,50,10,60
2017,2016,52,"Escher Wyss","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",22,2192,42,0,0,0,3,28,8,4
2017,2014,52,"Escher Wyss","Übrige Eigentümerschaften","Altbau (bis 2006)",1056,96289,2195,530,82,188,405,446,186,356
2017,2015,52,"Escher Wyss","Übrige Eigentümerschaften","Altbau (bis 2006)",1081,97838,2213,569,101,116,412,482,180,346
2017,2016,52,"Escher Wyss","Übrige Eigentümerschaften","Altbau (bis 2006)",1055,95641,2203,581,107,123,410,444,170,363
2017,2014,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau als Umnutzung",247,22490,432,56,2,3,115,146,34,77
2017,2015,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau als Umnutzung",314,28502,573,105,7,7,131,192,52,72
2017,2016,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau als Umnutzung",320,29085,621,107,7,17,114,198,72,107
2017,2014,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau auf unbebautem Land",182,16661,318,3,10,0,77,134,28,62
2017,2015,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau auf unbebautem Land",274,25233,525,16,9,20,88,224,36,124
2017,2016,52,"Escher Wyss","Übrige Eigentümerschaften","Neubau auf unbebautem Land",423,39869,797,46,16,15,145,320,82,172
2017,2014,61,"Unterstrass","Im Stockwerkeigentum","Altbau (bis 2006)",469,43436,983,278,25,127,181,190,116,72
2017,2015,61,"Unterstrass","Im Stockwerkeigentum","Altbau (bis 2006)",481,44629,1025,300,21,108,176,196,112,104
2017,2016,61,"Unterstrass","Im Stockwerkeigentum","Altbau (bis 2006)",496,46119,1041,297,27,122,190,202,122,80
2017,2014,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Umnutzung",8,808,15,3,0,0,2,6,4,0
2017,2015,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Umnutzung",55,7027,148,76,0,9,5,16,10,0
2017,2016,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Umnutzung",174,22511,448,258,7,23,30,68,60,3
2017,2014,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",74,9910,220,151,10,9,12,16,14,9
2017,2015,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",74,9949,219,152,10,10,14,12,18,3
2017,2016,61,"Unterstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",73,9794,214,158,10,0,13,10,20,3
2017,2014,61,"Unterstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",36,3694,88,44,0,5,11,8,10,10
2017,2015,61,"Unterstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",35,3596,97,47,0,19,7,8,10,6
2017,2016,61,"Unterstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",37,3845,92,48,0,9,11,6,12,6
2017,2014,61,"Unterstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",3223,223099,6562,2355,694,379,1401,664,820,246
2017,2015,61,"Unterstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",3109,215681,6379,2320,638,352,1318,666,810,256
2017,2016,61,"Unterstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",2997,208497,6101,2265,657,292,1297,596,778,201
2017,2014,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",231,24494,878,630,57,91,30,14,44,12
2017,2015,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",261,27091,937,668,74,73,41,20,58,8
2017,2016,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",262,27210,934,673,84,56,37,18,64,3
2017,2014,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",72,7462,203,113,5,17,15,18,10,26
2017,2015,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",76,7927,204,135,4,8,17,20,10,10
2017,2016,61,"Unterstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",128,12190,329,196,46,7,30,28,16,11
2017,2014,61,"Unterstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",6588,505019,12347,2620,397,707,3101,2662,1300,1532
2017,2015,61,"Unterstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",6610,509029,12285,2762,401,584,3159,2612,1308,1433
2017,2016,61,"Unterstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",6755,517674,12351,2830,386,513,3291,2688,1320,1324
2017,2014,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Umnutzung",35,3000,61,4,0,0,14,18,18,7
2017,2015,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Umnutzung",36,3069,62,12,0,0,16,12,18,4
2017,2016,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Umnutzung",36,3069,64,22,0,0,16,12,12,3
2017,2014,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",65,6331,128,33,0,7,26,26,16,19
2017,2015,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",77,7305,156,47,2,4,23,32,26,23
2017,2016,61,"Unterstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",76,7154,166,64,2,0,23,32,14,28
2017,2014,61,"Unterstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",8,755,16,5,0,0,3,6,2,0
2017,2015,61,"Unterstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",8,755,17,5,0,0,2,10,0,0
2017,2016,61,"Unterstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",7,676,16,5,0,0,1,10,0,0
2017,2014,63,"Oberstrass","Im Stockwerkeigentum","Altbau (bis 2006)",622,64672,1337,445,49,128,216,194,240,57
2017,2015,63,"Oberstrass","Im Stockwerkeigentum","Altbau (bis 2006)",636,66379,1346,433,40,133,232,190,266,51
2017,2016,63,"Oberstrass","Im Stockwerkeigentum","Altbau (bis 2006)",651,67831,1370,499,47,105,247,160,262,54
2017,2014,63,"Oberstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",19,2580,46,9,2,14,3,2,16,0
2017,2015,63,"Oberstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",24,3416,59,18,2,14,6,2,18,0
2017,2016,63,"Oberstrass","Im Stockwerkeigentum","Neubau als Wohnersatz",25,3462,60,16,2,14,6,2,20,0
2017,2014,63,"Oberstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",5,916,18,13,0,3,0,0,2,0
2017,2015,63,"Oberstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",5,916,18,13,0,3,0,0,2,0
2017,2016,63,"Oberstrass","Im Stockwerkeigentum","Neubau auf unbebautem Land",5,916,20,14,0,4,0,0,2,0
2017,2014,63,"Oberstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",674,52002,1525,578,157,104,267,128,148,138
2017,2015,63,"Oberstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",676,51986,1493,564,167,103,274,146,134,105
2017,2016,63,"Oberstrass","Öffentl./Genossenschaftl.","Altbau (bis 2006)",714,54775,1532,595,161,95,300,146,146,82
2017,2014,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",7,759,22,16,0,3,1,0,2,0
2017,2015,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",7,759,23,19,0,3,1,0,0,0
2017,2016,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",7,759,22,16,0,3,1,2,0,0
2017,2014,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",10,833,17,7,2,0,6,2,0,0
2017,2015,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",10,833,17,7,0,0,6,4,0,0
2017,2016,63,"Oberstrass","Öffentl./Genossenschaftl.","Neubau auf unbebautem Land",10,833,16,3,2,0,5,6,0,0
2017,2014,63,"Oberstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",3524,305189,6726,1827,216,484,1753,1028,768,638
2017,2015,63,"Oberstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",3554,306266,6735,1808,222,466,1801,1042,742,626
2017,2016,63,"Oberstrass","Übrige Eigentümerschaften","Altbau (bis 2006)",3621,313431,6803,1930,221,420,1844,1084,768,532
2017,2014,63,"Oberstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",20,2186,46,25,0,4,7,4,6,0
2017,2015,63,"Oberstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",25,2745,68,20,0,21,6,10,4,7
2017,2016,63,"Oberstrass","Übrige Eigentümerschaften","Neubau als Wohnersatz",39,4299,89,30,0,10,8,28,10,3
2017,2014,63,"Oberstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",4,610,5,".",".",".",".",".",".","."
2017,2015,63,"Oberstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",3,479,4,".",".",".",".",".",".","."
2017,2016,63,"Oberstrass","Übrige Eigentümerschaften","Neubau auf unbebautem Land",8,958,14,4,0,0,4,4,2,0
2017,2014,71,"Fluntern","Im Stockwerkeigentum","Altbau (bis 2006)",696,81235,1434,400,86,108,265,152,322,102
2017,2015,71,"Fluntern","Im Stockwerkeigentum","Altbau (bis 2006)",709,82968,1491,429,89,151,261,142,316,101
2017,2016,71,"Fluntern","Im Stockwerkeigentum","Altbau (bis 2006)",720,83868,1545,449,102,186,259,136,328,85
2017,2014,71,"Fluntern","Im Stockwerkeigentum","Neubau als Wohnersatz",29,5344,81,39,3,16,7,6,10,0
2017,2015,71,"Fluntern","Im Stockwerkeigentum","Neubau als Wohnersatz",44,7476,125,56,5,26,10,14,8,3
2017,2016,71,"Fluntern","Im Stockwerkeigentum","Neubau als Wohnersatz",63,9996,186,77,9,46,14,12,12,13
2017,2014,71,"Fluntern","Im Stockwerkeigentum","Neubau auf unbebautem Land",7,1313,20,13,0,5,2,0,0,0
2017,2015,71,"Fluntern","Im Stockwerkeigentum","Neubau auf unbebautem Land",9,1869,22,13,0,5,4,0,0,0
2017,2016,71,"Fluntern","Im Stockwerkeigentum","Neubau auf unbebautem Land",9,1869,23,10,3,5,3,0,2,0
2017,2014,71,"Fluntern","Öffentl./Genossenschaftl.","Altbau (bis 2006)",173,13422,377,85,30,30,58,56,46,57
2017,2015,71,"Fluntern","Öffentl./Genossenschaftl.","Altbau (bis 2006)",106,8844,239,49,20,27,31,36,28,40
2017,2016,71,"Fluntern","Öffentl./Genossenschaftl.","Altbau (bis 2006)",98,8011,208,48,12,14,42,22,18,54
2017,2016,71,"Fluntern","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",52,4734,129,73,12,3,17,8,16,0
2017,2014,71,"Fluntern","Übrige Eigentümerschaften","Altbau (bis 2006)",2394,262380,5037,1542,219,443,967,666,732,449
2017,2015,71,"Fluntern","Übrige Eigentümerschaften","Altbau (bis 2006)",2417,262703,5088,1532,208,537,986,664,734,404
2017,2016,71,"Fluntern","Übrige Eigentümerschaften","Altbau (bis 2006)",2414,261260,5069,1623,252,415,991,658,718,395
2017,2014,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Umnutzung",22,2592,57,38,0,0,7,4,8,0
2017,2015,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Umnutzung",21,2535,56,36,0,5,6,2,8,0
2017,2016,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Umnutzung",22,2648,57,41,0,0,8,0,8,0
2017,2014,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Wohnersatz",23,3347,51,12,0,14,9,4,12,0
2017,2015,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Wohnersatz",25,3766,52,11,0,14,11,4,12,0
2017,2016,71,"Fluntern","Übrige Eigentümerschaften","Neubau als Wohnersatz",39,5298,78,15,2,12,14,18,14,3
2017,2014,71,"Fluntern","Übrige Eigentümerschaften","Neubau auf unbebautem Land",52,6764,105,26,8,6,18,24,16,3
2017,2015,71,"Fluntern","Übrige Eigentümerschaften","Neubau auf unbebautem Land",57,7628,110,39,8,0,23,24,16,0
2017,2016,71,"Fluntern","Übrige Eigentümerschaften","Neubau auf unbebautem Land",57,7755,114,38,13,3,20,20,20,0
2017,2014,72,"Hottingen","Im Stockwerkeigentum","Altbau (bis 2006)",741,80642,1479,430,64,134,309,174,280,89
2017,2015,72,"Hottingen","Im Stockwerkeigentum","Altbau (bis 2006)",752,81880,1519,465,55,147,323,176,262,92
2017,2016,72,"Hottingen","Im Stockwerkeigentum","Altbau (bis 2006)",768,83354,1563,427,52,179,325,186,288,103
2017,2014,72,"Hottingen","Im Stockwerkeigentum","Neubau als Wohnersatz",13,2132,32,20,0,0,2,6,4,0
2017,2015,72,"Hottingen","Im Stockwerkeigentum","Neubau als Wohnersatz",12,1958,31,19,0,0,2,6,4,0
2017,2016,72,"Hottingen","Im Stockwerkeigentum","Neubau als Wohnersatz",16,2374,34,19,0,0,7,4,4,0
2017,2014,72,"Hottingen","Im Stockwerkeigentum","Neubau auf unbebautem Land",2,464,3,".",".",".",".",".",".","."
2017,2015,72,"Hottingen","Im Stockwerkeigentum","Neubau auf unbebautem Land",4,706,8,".",".",".",".",".",".","."
2017,2016,72,"Hottingen","Im Stockwerkeigentum","Neubau auf unbebautem Land",6,900,11,4,0,0,3,0,4,0
2017,2014,72,"Hottingen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",154,13607,392,167,22,60,42,26,56,17
2017,2015,72,"Hottingen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",156,13538,401,159,17,72,41,28,64,20
2017,2016,72,"Hottingen","Öffentl./Genossenschaftl.","Altbau (bis 2006)",161,14158,415,160,18,74,45,34,56,30
2017,2014,72,"Hottingen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",13,1036,23,8,0,0,7,8,0,0
2017,2015,72,"Hottingen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",13,1036,22,8,0,0,8,6,0,0
2017,2016,72,"Hottingen","Öffentl./Genossenschaftl.","Neubau als Wohnersatz",13,1036,22,8,0,0,8,6,0,0
2017,2014,72,"Hottingen","Übrige Eigentümerschaften","Altbau (bis 2006)",4080,374426,8099,2401,373,689,1918,1234,834,630
2017,2015,72,"Hottingen","Übrige Eigentümerschaften","Altbau (bis 2006)",4115,379641,8192,2495,386,623,1897,1236,870,657
2017,2016,72,"Hottingen","Übrige Eigentümerschaften","Altbau (bis 2006)",4121,382329,8224,2600,423,602,1898,1186,902,616
2017,2014,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Umnutzung",1,120,".",".",".",".",".",".",".","."
2017,2015,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Umnutzung",14,1584,31,12,0,5,4,6,4,0
2017,2016,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Umnutzung",15,1660,35,16,0,5,4,6,4,0
2017,2014,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Wohnersatz",18,3388,56,37,0,8,5,2,4,0
2017,2015,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Wohnersatz",26,4305,76,57,2,0,5,10,2,0
2017,2016,72,"Hottingen","Übrige Eigentümerschaften","Neubau als Wohnersatz",42,6192,108,58,9,6,11,16,8,0
2017,2014,72,"Hottingen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",56,4133,67,0,3,0,45,6,12,0
2017,2015,72,"Hottingen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",56,4091,65,4,0,0,47,4,10,0
2017,2016,72,"Hottingen","Übrige Eigentümerschaften","Neubau auf unbebautem Land",55,4024,62,0,2,3,49,2,6,0
2017,2014,73,"Hirslanden","Im Stockwerkeigentum","Altbau (bis 2006)",299,32772,656,200,30,109,106,90,114,12
2017,2015,73,"Hirslanden","Im Stockwerkeigentum","Altbau (bis 2006)",299,32705,652,233,26,72,106,82,120,13
2017,2016,73,"Hirslanden","Im Stockwerkeigentum","Altbau (bis 2006)",306,33624,660,219,23,79,108,80,138,12
2017,2014,73,"Hirslanden","Im Stockwerkeigentum","Neubau als Wohnersatz",13,1596,30,10,0,5,4,4,6,0
